,fire_name,fire_year,fire_size,fire_type,avg_dis_from_odessa,distance_category,smoke_density_estimate
1088,No Fire Name Provided (2),1964,4996.316662943953,Wildfire,373.3511591022209,8.0,0.5227481283721216
1089,No Fire Name Provided (2),1964,4995.725599114989,Wildfire,362.3688630885972,8.0,0.538527315929231
1090,No Fire Name Provided (8),1964,4995.523496030371,Wildfire,369.0084370460425,8.0,0.5288161921873303
1091,No Fire Name Provided (4),1964,4995.490067526366,Wildfire,365.75169615600447,8.0,0.533521328304427
1092,No Fire Name Provided (2),1964,4995.263602457726,Wildfire,402.5220141674515,9.0,0.4847622679087329
1124,Stanton (3),1964,777.7040430288783,Wildfire,215.31372299302325,5.0,0.14109209463532396
1193,Lone Mountain (3),1964,245.95609420922622,Wildfire,240.0019239996608,5.0,0.04003159545529927
1231,Loop (3),1964,95.2094658461817,Wildfire,530.9642730292555,11.0,0.007004463291660217
1261,UNKNOWN (2),1964,25.821086790087698,Wildfire,204.2202445689157,5.0,0.004938962857805357
1279,TERLINGUA (3),1964,8.53671149601649,Wildfire,199.17776235059256,4.0,0.001674209454297307
1288,No Fire Name Provided (2),1964,4.840897526962072,Wildfire,355.7744588019737,8.0,0.0005315096544134127
1289,No Fire Name Provided (2),1964,4.840848017078908,Wildfire,355.81081420939586,8.0,0.0005314499113449134
1290,No Fire Name Provided (2),1964,4.840805468710529,Wildfire,361.7927861822975,8.0,0.0005226581923228999
1291,No Fire Name Provided (2),1964,4.840782852778392,Wildfire,371.34700974747756,8.0,0.0005092085710215967
1292,No Fire Name Provided (2),1964,4.840775403541759,Wildfire,372.07699394624024,8.0,0.0005082087639854754
1293,No Fire Name Provided (2),1964,4.840552928697253,Wildfire,357.1898966842833,8.0,0.000529365753433855
1294,No Fire Name Provided (2),1964,4.840435446741632,Wildfire,358.1204224981058,8.0,0.0005279774560730201
1295,No Fire Name Provided (2),1964,4.84033381238045,Wildfire,357.0526225903616,8.0,0.0005295453039229834
1296,No Fire Name Provided (2),1964,4.840279618402299,Wildfire,358.01361959497467,8.0,0.0005281179604500548
1297,No Fire Name Provided (2),1964,4.840242279824883,Wildfire,360.47529383807455,8.0,0.0005245074136497982
1298,No Fire Name Provided (2),1964,4.840189472742292,Wildfire,360.9435710102572,8.0,0.0005238212187844256
1299,No Fire Name Provided (2),1964,4.840010092320323,Wildfire,375.22236715134846,8.0,0.000503868934217887
1300,No Fire Name Provided (2),1964,4.839739589632288,Wildfire,373.36646056987576,8.0,0.0005063452336652236
1301,No Fire Name Provided (2),1964,4.8393869603026145,Wildfire,380.4111195661956,8.0,0.0004969322488585304
1302,No Fire Name Provided (2),1964,4.839279424302306,Wildfire,410.98527851722497,9.0,0.0004599540723059892
1307,64.003 (3),1964,1.2910969324071337,Wildfire,357.01889390268263,8.0,0.00014126275887208644
1308,64.002 (3),1964,0.8938939959598134,Wildfire,355.0293425941606,8.0,9.835168541856329e-05
1309,64.018 (3),1964,0.8208175566663845,Wildfire,356.2476656029037,8.0,9.000251483197171e-05
1311,64.004 (3),1964,0.7239009445922846,Wildfire,356.90748404296994,8.0,7.922888118740503e-05
1317,No Fire Name Provided (2),1964,0.1310855470411522,Wildfire,360.94086602018405,8.0,1.418661521416271e-05
1318,No Fire Name Provided (2),1964,0.13108425290655987,Wildfire,359.17721169590953,8.0,1.4256134471854103e-05
1319,No Fire Name Provided (2),1964,0.13107905140433473,Wildfire,362.7356471086252,8.0,1.4115721700625972e-05
1320,No Fire Name Provided (2),1964,0.13107693771956036,Wildfire,371.74847259489326,8.0,1.3773272137287226e-05
1321,No Fire Name Provided (2),1964,0.1310765061698138,Wildfire,375.79582913333206,8.0,1.3624887838874116e-05
1322,No Fire Name Provided (2),1964,0.13107101615145872,Wildfire,384.39719750169075,8.0,1.3319456025414539e-05
1323,No Fire Name Provided (2),1964,0.1310705717574524,Wildfire,358.7675547355595,8.0,1.4270923169318626e-05
1324,No Fire Name Provided (2),1964,0.13107029978228868,Wildfire,359.46994604177127,8.0,1.4243008745578701e-05
1325,No Fire Name Provided (2),1964,0.13107028615461236,Wildfire,385.9093696307978,8.0,1.3267190319356126e-05
1326,No Fire Name Provided (2),1964,0.1310697932311894,Wildfire,359.24190855440185,8.0,1.4251994759453297e-05
1327,No Fire Name Provided (2),1964,0.13106923506556167,Wildfire,358.27564401092894,8.0,1.429037133931528e-05
1328,No Fire Name Provided (2),1964,0.13106201991377509,Wildfire,379.2616727851435,8.0,1.3498886178731176e-05
1329,No Fire Name Provided (2),1964,0.13106080154443928,Wildfire,377.51619835599837,8.0,1.3561173222829246e-05
1330,No Fire Name Provided (2),1964,0.13106061788263473,Wildfire,381.16582745232483,8.0,1.3431307366295212e-05
1331,No Fire Name Provided (2),1964,0.1310571551028462,Wildfire,373.6500619039517,8.0,1.3701108719529393e-05
1332,No Fire Name Provided (2),1964,0.13105707282164292,Wildfire,395.7173463706296,8.0,1.2937054577083338e-05
1333,No Fire Name Provided (2),1964,0.13105668317209965,Wildfire,376.64030574518773,8.0,1.3592283163325656e-05
1334,No Fire Name Provided (2),1964,0.13105550715060077,Wildfire,383.1104837888315,8.0,1.3362609389964136e-05
1335,No Fire Name Provided (2),1964,0.13105403549055583,Wildfire,377.33422875986724,8.0,1.3567012667190926e-05
1336,No Fire Name Provided (2),1964,0.13105242071322645,Wildfire,389.1077190207659,8.0,1.3156344461614767e-05
1337,No Fire Name Provided (2),1964,0.1310522431141899,Wildfire,378.8900057841339,8.0,1.351111976694533e-05
1338,No Fire Name Provided (2),1964,0.13105218637163313,Wildfire,389.400145585023,8.0,1.3146440976417589e-05
1339,No Fire Name Provided (2),1964,0.13104952937020917,Wildfire,387.14193131124176,8.0,1.3222856598574672e-05
1340,No Fire Name Provided (2),1964,0.13104897029110454,Wildfire,383.0940014107457,8.0,1.3362517771474252e-05
1341,No Fire Name Provided (2),1964,0.13104852212848625,Wildfire,394.67427387291855,8.0,1.2970399224177179e-05
1342,No Fire Name Provided (2),1964,0.13104775733993723,Wildfire,393.55891195843634,8.0,1.3007081952782511e-05
1343,No Fire Name Provided (2),1964,0.13104649551878852,Wildfire,378.6875852047622,8.0,1.351774901317336e-05
1344,No Fire Name Provided (2),1964,0.13104407296407522,Wildfire,385.76121036776294,8.0,1.3269631478185973e-05
1345,No Fire Name Provided (2),1964,0.13102922241686957,Wildfire,390.86838515535885,8.0,1.309476333990169e-05
1346,No Fire Name Provided (4),1964,0.26205806194760384,Wildfire,391.2265505679458,8.0,2.616551210537138e-05
1376,No Fire Name Provided (3),1965,2248.9560052677284,Wildfire,519.7973640466798,11.0,0.3380157347157358
1414,JOHNSONRAN (3),1965,323.31627186525714,Wildfire,205.30776407871392,5.0,0.12303033863731043
1435,Wiggins (3),1965,160.69776217038378,Wildfire,533.4595975627323,11.0,0.02353413965541202
1447,Bathroom (3),1965,80.6006747950108,Wildfire,536.2440183352314,11.0,0.011742653536554163
1465,Tillman (3),1965,42.24847436895161,Wildfire,524.3952550133021,11.0,0.006294225640906339
1504,No Fire Name Provided (2),1965,4.842236759654035,Wildfire,322.2938185926869,7.0,0.0011737728899047382
1505,No Fire Name Provided (2),1965,4.840971364830481,Wildfire,352.7168469154261,8.0,0.0010722507053031855
1506,No Fire Name Provided (2),1965,4.840944692190298,Wildfire,354.7421620077382,8.0,0.0010661230735497327
1507,No Fire Name Provided (2),1965,4.840919610492042,Wildfire,367.4527070534197,8.0,0.0010292395111262827
1508,No Fire Name Provided (2),1965,4.85745590599578,Wildfire,356.1826667972754,8.0,0.0010654329309963582
1509,No Fire Name Provided (2),1965,4.840756812036739,Wildfire,357.19451372398163,8.0,0.0010587624149026211
1510,No Fire Name Provided (2),1965,4.840121107820479,Wildfire,363.5818669398585,8.0,0.0010400256336519215
1520,65.005 (3),1965,2.902677333863937,Wildfire,357.35988445119915,8.0,0.0006345750504603376
1551,No Fire Name Provided (2),1965,0.13113179280184897,Wildfire,292.9546213132076,6.0,3.497016454876651e-05
