"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Texas"	"48"	"Anderson County, TX"	"48001"	"1999"	"1999"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	16	54876	29.2 (Unreliable)	16.7	47.3	7.3	31.4 (Unreliable)	17.9	50.9	7.9	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2000"	"2000"	"Pneumonia, unspecified"	"J18.9"	11	55109	20.0 (Unreliable)	10.0	35.7	6.0	19.6 (Unreliable)	9.8	35.1	5.9	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2000"	"2000"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	27	55109	49.0	32.3	71.3	9.4	52.4	34.6	76.3	10.1	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2001"	"2001"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	13	54263	24.0 (Unreliable)	12.8	41.0	6.6	24.7 (Unreliable)	13.1	42.2	6.9	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2002"	"2002"	"Pneumonia, unspecified"	"J18.9"	11	54740	20.1 (Unreliable)	10.0	36.0	6.1	19.8 (Unreliable)	9.9	35.4	6.0	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2002"	"2002"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	18	54740	32.9 (Unreliable)	19.5	52.0	7.8	35.2 (Unreliable)	20.8	55.6	8.3	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2003"	"2003"	"Pneumonia, unspecified"	"J18.9"	13	56068	23.2 (Unreliable)	12.3	39.6	6.4	25.4 (Unreliable)	13.5	43.5	7.1	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2003"	"2003"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	19	56068	33.9 (Unreliable)	20.4	52.9	7.8	37.2 (Unreliable)	22.4	58.1	8.5	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2004"	"2004"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	31	56245	55.1	37.4	78.2	9.9	59.5	40.4	84.5	10.7	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2005"	"2005"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	25	56873	44.0	28.4	64.9	8.8	47.9	31.0	70.8	9.6	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2006"	"2006"	"Pneumonia, unspecified"	"J18.9"	10	57386	17.4 (Unreliable)	8.4	32.0	5.5	18.1 (Unreliable)	8.7	33.3	5.7	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2006"	"2006"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	20	57386	34.9	21.3	53.8	7.8	36.3	22.2	56.0	8.1	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2007"	"2007"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	22	57870	38.0	23.8	57.6	8.1	40.5	25.4	61.3	8.7	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2008"	"2008"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	19	57963	32.8 (Unreliable)	19.7	51.2	7.5	33.6 (Unreliable)	20.3	52.5	7.8	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2009"	"2009"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	22	58410	37.7	23.6	57.0	8.0	38.8	24.3	58.7	8.3	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2010"	"2010"	"Pneumonia, unspecified"	"J18.9"	10	58458	17.1 (Unreliable)	8.2	31.5	5.4	18.2 (Unreliable)	8.7	33.4	5.8	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2010"	"2010"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	16	58458	27.4 (Unreliable)	15.6	44.4	6.8	27.2 (Unreliable)	15.5	44.1	6.9	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2011"	"2011"	"Pneumonia, unspecified"	"J18.9"	10	58350	17.1 (Unreliable)	8.2	31.5	5.4	17.6 (Unreliable)	8.4	32.3	5.6	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2011"	"2011"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	29	58350	49.7	33.3	71.4	9.2	48.3	32.1	69.7	9.1	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2012"	"2012"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	24	58019	41.4	26.5	61.5	8.4	41.4	26.2	62.1	8.5	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2013"	"2013"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	29	57894	50.1	33.5	71.9	9.3	47.6	31.6	68.8	9.0	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2014"	"2014"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	34	57725	58.9	40.8	82.3	10.1	56.6	39.0	79.5	9.8	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2015"	"2015"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	26	57487	45.2	29.5	66.3	8.9	43.1	27.9	63.6	8.6	0.0%
	"Texas"	"48"	"Anderson County, TX"	"48001"	"2016"	"2016"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	23	57734	39.8	25.3	59.8	8.3	39.9	25.3	59.9	8.4	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2002"	"2002"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	11	13022	84.5 (Unreliable)	42.2	151.1	25.5	91.0 (Unreliable)	45.5	162.9	27.6	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2004"	"2004"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	13006	76.9 (Unreliable)	36.9	141.4	24.3	85.6 (Unreliable)	41.1	157.5	27.5	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2005"	"2005"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	11	13016	84.5 (Unreliable)	42.2	151.2	25.5	80.1 (Unreliable)	40.0	143.3	24.2	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2006"	"2006"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	13195	75.8 (Unreliable)	36.3	139.4	24.0	87.4 (Unreliable)	40.0	165.9	28.4	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2007"	"2007"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	11	13513	81.4 (Unreliable)	40.6	145.7	24.5	94.2 (Unreliable)	47.0	168.6	29.0	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2008"	"2008"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	13	14099	92.2 (Unreliable)	49.1	157.7	25.6	101.2 (Unreliable)	53.9	173.0	28.3	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2009"	"2009"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	14601	68.5 (Unreliable)	32.8	126.0	21.7	78.8 (Unreliable)	37.8	145.0	24.9	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2012"	"2012"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	13	16107	80.7 (Unreliable)	43.0	138.0	22.4	97.0 (Unreliable)	51.6	165.8	27.0	0.0%
	"Texas"	"48"	"Andrews County, TX"	"48003"	"2015"	"2015"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	11	18026	61.0 (Unreliable)	30.5	109.2	18.4	81.9 (Unreliable)	40.9	146.6	24.7	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"1999"	"1999"	"Pneumonia, unspecified"	"J18.9"	20	79611	25.1	15.3	38.8	5.6	25.1	15.3	38.8	5.6	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"1999"	"1999"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	37	79611	46.5	32.7	64.1	7.6	46.8	33.0	64.5	7.7	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2000"	"2000"	"Pneumonia, unspecified"	"J18.9"	23	80130	28.7	18.2	43.1	6.0	28.2	17.9	42.3	5.9	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2000"	"2000"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	30	80130	37.4	25.3	53.4	6.8	37.5	25.3	53.5	6.9	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2000"	"2000"	"Pneumonitis due to food and vomit"	"J69.0"	16	80130	20.0 (Unreliable)	11.4	32.4	5.0	20.1 (Unreliable)	11.5	32.6	5.0	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2001"	"2001"	"Pneumonia, unspecified"	"J18.9"	25	80273	31.1	20.2	46.0	6.2	31.7	20.5	46.8	6.3	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2001"	"2001"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	36	80273	44.8	31.4	62.1	7.5	45.1	31.6	62.4	7.5	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2002"	"2002"	"Pneumonia, unspecified"	"J18.9"	12	80803	14.9 (Unreliable)	7.7	25.9	4.3	15.3 (Unreliable)	7.9	26.7	4.4	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2002"	"2002"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	32	80803	39.6	27.1	55.9	7.0	39.8	27.2	56.1	7.0	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2003"	"2003"	"Pneumonia, unspecified"	"J18.9"	15	81510	18.4 (Unreliable)	10.3	30.4	4.8	18.7 (Unreliable)	10.5	30.9	4.8	0.0%
	"Texas"	"48"	"Angelina County, TX"	"48005"	"2003"	"2003"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	24	81510	29.4	18.9	43.8	6.0	29.3	18.8	43.6	6.0	0.0%
